专业代码,专业代码与名称,学科分类,学科代码,一级学科代码,,国家线A线总分,国家线A线单科=100,国家线A线单科>100,国家线B线总分,国家线B线单科=100,国家线B线单科>100,学位类型,A全日制调剂,A全日制一志愿,B全日制调剂,B全日制一志愿,A非全日制调剂,A非全日制一志愿,B非全日制调剂,B非全日制一志愿
070601,070601气象学,理学,07,0706,06,280,37,56,270,34,51,学硕, 315.17 , 369.86 ,,,,,,
070602,070602大气物理学与大气环境,理学,07,0706,06,280,37,56,270,34,51,学硕,, 349.20 ,,,,,,
070700,070700海洋科学,理学,07,0707,07,280,37,56,270,34,51,学硕, 326.39 , 355.21 , 302.39 , 328.56 ,,,,
070701,070701物理海洋学,理学,07,0707,07,280,37,56,270,34,51,学硕, 368.00 , 364.90 ,,,,,,
070702,070702海洋化学,理学,07,0707,07,280,37,56,270,34,51,学硕, 370.00 , 378.96 ,,,,,,
070703,070703海洋生物学,理学,07,0707,07,280,37,56,270,34,51,学硕, 306.31 , 348.79 ,, 322.08 ,,,,
070704,070704海洋地质,理学,07,0707,07,280,37,56,270,34,51,学硕,, 354.00 ,,,,,,
070800,070800地球物理学,理学,07,0708,08,280,37,56,270,34,51,学硕, 320.31 , 358.50 ,,,,,,
070801,070801固体地球物理学,理学,07,0708,08,280,37,56,270,34,51,学硕,, 374.00 ,,,,,,
070802,070802空间物理学,理学,07,0708,08,280,37,56,270,34,51,学硕,,,,,,,,
070900,070900地质学,理学,07,0709,09,280,37,56,270,34,51,学硕, 315.94 , 347.91 , 338.70 , 331.88 , 354.00 , 352.50 ,,
070901,070901矿物学、岩石学、矿床学,理学,07,0709,09,280,37,56,270,34,51,学硕, 323.97 , 345.01 , 338.57 , 314.63 , 306.40 , 325.07 ,,
070902,070902地球化学,理学,07,0709,09,280,37,56,270,34,51,学硕, 343.60 , 338.53 , 327.20 , 327.00 ,,,,
070903,070903古生物学与地层学(含：古人类学),理学,07,0709,09,280,37,56,270,34,51,学硕, 340.00 , 339.17 , 293.00 , 296.00 ,,,,
070904,070904构造地质学,理学,07,0709,09,280,37,56,270,34,51,学硕, 381.50 , 349.00 , 326.00 , 316.67 ,,,,
070905,070905第四纪地质学,理学,07,0709,09,280,37,56,270,34,51,学硕, 371.40 , 333.25 , 363.00 , 357.11 ,,,,
071000,071000生物学,理学,07,0710,10,280,37,56,270,34,51,学硕, 322.23 , 344.28 , 318.23 , 314.98 ,,,,
071001,071001植物学,理学,07,0710,10,280,37,56,270,34,51,学硕, 318.24 , 347.85 , 328.35 , 338.82 ,,, 274.00 ,
071002,071002动物学,理学,07,0710,10,280,37,56,270,34,51,学硕, 318.26 , 339.50 , 318.69 , 321.31 ,,,,
071003,071003生理学,理学,07,0710,10,280,37,56,270,34,51,学硕, 324.50 , 339.15 , 311.71 , 305.00 ,,,,
071004,071004水生生物学,理学,07,0710,10,280,37,56,270,34,51,学硕, 319.37 , 336.67 ,,,,,,
071005,071005微生物学,理学,07,0710,10,280,37,56,270,34,51,学硕, 325.65 , 353.39 , 325.38 , 324.87 ,,, 277.00 , 276.00 
071006,071006神经生物学,理学,07,0710,10,280,37,56,270,34,51,学硕, 320.19 , 347.64 , 304.87 , 318.50 ,,,,
071007,071007遗传学,理学,07,0710,10,280,37,56,270,34,51,学硕, 320.96 , 351.39 , 319.38 , 329.24 ,,,,
071008,071008发育生物学,理学,07,0710,10,280,37,56,270,34,51,学硕, 325.50 , 340.15 , 309.60 , 346.50 ,,,,
071009,071009细胞生物学,理学,07,0710,10,280,37,56,270,34,51,学硕, 323.52 , 339.21 , 329.64 , 332.18 ,,,,
071010,071010生物化学与分子生物学,理学,07,0710,10,280,37,56,270,34,51,学硕, 319.56 , 352.39 , 321.42 , 326.06 ,,,,
071011,071011生物物理学,理学,07,0710,10,280,37,56,270,34,51,学硕, 328.95 , 340.97 , 314.00 , 368.50 ,,,,
071100,071100系统科学,理学,07,0711,11,280,37,56,270,34,51,学硕, 321.24 , 343.51 , 293.75 , 322.50 ,,,,
071101,071101系统理论,理学,07,0711,11,280,37,56,270,34,51,学硕, 358.00 , 310.00 , 298.57 , 272.50 ,,,,
071102,071102系统分析与集成,理学,07,0711,11,280,37,56,270,34,51,学硕,, 361.00 , 291.60 , 317.00 ,,,,
071200,071200科学技术史(分学科，可授理学、工学、农学、医学学位),理学,07,0712,12,280,37,56,270,34,51,学硕, 337.14 , 354.90 , 321.43 , 313.67 ,,,,
071300,071300生态学,理学,07,0713,13,280,37,56,270,34,51,学硕, 323.94 , 332.97 , 327.99 , 331.30 ,,, 303.25 , 328.00 
071301,071301动物生态学,理学,07,0713,13,280,37,56,270,34,51,学硕, 319.90 , 308.80 , 280.60 , 291.00 ,,,,
071302,071302植物生态学,理学,07,0713,13,280,37,56,270,34,51,学硕, 299.00 , 348.00 ,,,,,,
071303,071303微生物生态学,理学,07,0713,13,280,37,56,270,34,51,学硕,,,,,,,,
071304,071304生态系统生态学,理学,07,0713,13,280,37,56,270,34,51,学硕,,,,,,,,
071305,071305景观生态学,理学,07,0713,13,280,37,56,270,34,51,学硕,,,,,,,,
